English,Chichewa
lead,atsogolere
cry,kulira
dark,mdima
machine,makina
note,zindikirani
wait,dikirani
plan,ndondomeko
figure,chithunzi
star,nyenyezi
box,bokosi
noun,omwe
field,kumunda
rest,mpumulo
correct,zolondola
able,wokhoza
pound,mapaundi
done,chinachitidwa
beauty,kukongola
drive,pagalimoto
stood,anayima
contain,ali
front,kutsogolo
teach,kuphunzitsa
week,mlungu
final,chomaliza
gave,anapatsa
green,wobiriwira
oh,o
quick,mwamsanga
develop,kukulitsa
ocean,nyanja
warm,ofunda
free,mfulu
minute,miniti
strong,wamphamvu
special,wapadera
mind,maganizo
behind,kuseri
clear,momveka
tail,mchira
produce,panga
fact,Ndipotu
space,danga
heard,anamva
best,yabwino
hour,ora
better,bwino
TRUE,Zoona
during,pamene
hundred,mazana
five,zisanu
remember,kumbukirani
step,sitepe
early,oyambirira
hold,gwirani
west,kumadzulo
ground,nthaka
interest,chidwi
reach,kufikira
fast,zolimba
verb,mneni
sing,kuimba
listen,kumvetsera
six,sikisi
table,gome
travel,ulendo
less,zochepa
morning,m’mawa
ten,khumi
simple,yosavuta
several,angapo
vowel,zilembo za mawu
toward,kwa
war,nkhondo
lay,anagona
against,motsutsa
pattern,chitsanzo
slow,wosakwiya
center,likulu
love,kukonda
person,munthu
money,ndalama
serve,kutumikira
appear,kuoneka
road,msewu
map,mapu
rain,mvula
rule,ulamuliro
govern,kudzilamulira
pull,kokani
cold,ozizira
notice,zindikirani
voice,mawu
energy,mphamvu
hunt,kukasaka
probable,Nkosatheka
bed,bedi
brother,m’bale
egg,dzira
ride,kukwera
cell,selo
believe,ndikukhulupirira
perhaps,mwina
pick,kukatenga
sudden,mwadzidzidzi
count,kulengeseka
square,lalikulu
reason,chifukwa
length,Patapita
represent,akuimira
art,zojambulajambula
subject,phunziro
region,m’chigawo
size,kukula
vary,zosiyanasiyana
settle,kuthetsa
speak,kulankhula
weight,kulemera
general,ambiri
ice,ayezi
matter,nkhaniyi
circle,bwalo
pair,peyala
include,monga
divide,kugawaniza
syllable,syllable
felt,anamva
grand,chachikulu
ball,mpira
yet,komabe
wave,yoweyula
drop,akuponya
heart,mtima
am,ndine
present,panopa
heavy,lolemera
dance,kuvina
engine,injini
position,udindo
arm,mkono
wide,lonse
sail,matanga
material,zakuthupi
fraction,kachigawo
forest,m’nkhalango
sit,akhale
race,mtundu
window,zenera
store,sitolo
summer,chilimwe
train,sitima
sleep,tulo
prove,kutsimikizira
lone,Bakuman
leg,mwendo
exercise,olimbitsa
wall,khoma
catch,kusodza
mount,phiri
wish,ndikukhumba
sky,mlengalenga
board,bolodi
joy,chimwemwe
winter,Zima
sat,Anakhala
written,olembedwa
wild,zakutchire
instrument,chida
kept,anapitiriza
glass,galasi
grass,udzu
cow,ng’ombe
job,ntchito
edge,m’mphepete
sign,chizindikiro
visit,ulendo
past,m’mbuyomu
soft,zofewa
fun,osangalatsa
bright,yowala
gas,gasi
weather,pogoda
month,mwezi
million,miliyoni
bear,kudzachitira
finish,mapeto
happy,okondwa
hope,ndikuyembekeza
flower,duwa
clothe,kuveka
strange,zachilendo
gone,atapita
trade,malonda
melody,Nyimbo
trip,ulendo
office,ofesi
receive,alandire
row,mzere
mouth,mkamwa
exact,yeniyeni
symbol,chizindikiro
die,afe
least,osachepera
trouble,vuto
shout,mfuu
except,kupatula
wrote,analemba
seed,mbewu
tone,kamvekedwe
join,kujowina
suggest,akusonyeza
clean,oyera
break,yopuma
lady,dona
yard,bwalo
rise,adzauka
bad,zoipa
blow,nkhonya
oil,mafuta
blood,magazi
touch,kukhudza
grew,anakulira
cent,senti
mix,kusakaniza
team,timu
wire,waya
cost,mtengo
lost,anataya
brown,Brown
wear,azivala
garden,m’munda
equal,ofanana
sent,anatumiza
choose,amasankha
fell,anagwa
fit,agwirizane
flow,ikuyenda
fair,mosakondera
bank,banki
collect,kusonkhanitsa
save,kupulumutsa
control,kulamulira
decimal,decimal
ear,khutu
else,china
quite,ndithu
broke,anaswa
case,zinalili
middle,pakati
kill,kupha
son,mwana
lake,nyanza
moment,mphindi
scale,sikelo
loud,mokweza
spring,masika
observe,kusunga
child,mwana
straight,molunjika
consonant,consonant
nation,mtundu
dictionary,dikishonale
milk,mkaka
speed,liwiro
method,njira
organ,limba
pay,kulipira
age,m’badwo
section,gawo
dress,kavalidwe
cloud,mtambo
surprise,Ndinadabwa
quiet,chete
stone,mwala
tiny,ting’onoting’ono
climb,kukwera
cool,ozizira
design,kamangidwe
poor,wosauka
lot,maere
experiment,kuyesera
bottom,pansi
key,chinsinsi
iron,chitsulo
single,wosakwatiwa
stick,ndodo
flat,lathyathyathya
twenty,twente
skin,khungu
smile,kumwetulira
crease,crease
hole,bowo
jump,kudumpha
baby,mwana
eight,eyiti
village,mudzi
meet,kudzakhalire
root,muzu
buy,kugula
raise,kwezani
solve,kuthetsa
metal,chitsulo
whether,kaya
push,kankhani
seven,zisanu ndi ziwiri
paragraph,ndime
third,lachitatu
shall,mudzazichita
held,anazika
hair,tsitsi
describe,pofotokoza
cook,wophika
floor,pansi
either,kaya
result,chifukwa
burn,kutentha
hill,phiri
safe,otetezeka
cat,mphaka
century,m’ma
consider,tione
type,choyimira
law,lamulo
bit,pokha
coast,gombe
copy,buku
phrase,Mawu
silent,chete
tall,wamtali
sand,mchenga
soil,nthaka
roll,mpukutu
temperature,kutentha
finger,chala
industry,makampani
value,phindu
fight,nkhondo
lie,bodza
beat,kumenya
excite,chimwemwe
natural,zachilengedwe
view,amaonera
sense,m’lingaliro
capital,likulu
won’t,sadzatero
chair,mpando
danger,ngozi
fruit,zipatso
rich,wachuma
thick,wandiweyani
soldier,msilikali
process,ndondomeko
operate,umagwira
practice,mchitidwe
separate,osiyana
difficult,yovuta
doctor,dokotala
please,chonde
protect,kuteteza
noon,masana
crop,mbewu
modern,amakono
element,amafotokozera
hit,anagunda
student,wophunzira
corner,ngodya
party,chipani
supply,thanidizo
whose,amene
locate,kupeza
ring,mphete
character,khalidwe
insect,tizilombo
caught,anamugwira
period,nyengo
indicate,amasonyeza
radio,wailesi
spoke,analankhula
atom,atomu
human,anthu
history,m’mbiri
effect,kwenikweni
electric,magetsi
expect,kuyembekezera
bone,fupa
rail,njanji
imagine,yerekezani
provide,kupereka
agree,amavomereza
thus,Motero
gentle,wodekha
woman,mkazi
captain,woyendetsa
guess,ndikulingalira
necessary,kofunika
sharp,lakuthwa
wing,phiko
create,kulenga
neighbor,mnansi
wash,wosambitsa
bat,mleme
rather,m’malo
crowd,khamu
corn,chimanga
compare,yerekezerani
poem,ndakatulo
string,chingwe
bell,belu
depend,zimadalira
meat,nyama
rub,Pakani
tube,chubu
famous,wotchuka
dollar,dola
stream,mtsinje
fear,mantha
sight,pamaso
thin,woonda
triangle,makona
planet,dzikoli
hurry,kufulumira
chief,mkulu
colony,njuchi
clock,wotchi
mine,wanga
tie,chimango
enter,kulowa
major,zikuluzikulu
fresh,mwatsopano
search,kufufuza
send,kutumiza
yellow,chikasu
gun,mfuti
allow,kulola
print,kusindikiza
dead,akufa
spot,banga
desert,chipululu
suit,suti
current,panopa
lift,Nyamulani
rose,ananyamuka
arrive,akufika
master,mbuye
track,zikuyenda
parent,kholo
shore,gombe
division,kugawanikana
sheet,Chikalata
substance,thunthu
favor,mtima
connect,kulumikiza
post,positi
spend,amawononga
chord,poyambira
fat,mafuta
glad,wokondwa
original,choyambirira
share,gawo
station,siteshoni
dad,bambo
bread,mkate
charge,azilipiritsa
proper,yoyenera
bar,kapamwamba
offer,kupereka
segment,gawo
slave,kapolo
duck,bakha
instant,n’kamodzi
market,msika
degree,digiri
populate,azikakhala
chick,mwana wankhuku
dear,wokondedwa
enemy,mdani
reply,anayankha
drink,kumwa
occur,zimachitika
support,thandizo
speech,zolankhula
nature,chikhalidwe
range,osiyanasiyana
steam,nthunzi
motion,zoyenda
path,mayendedwe
liquid,zamadzimadzi
log,fufuzani
meant,zinatanthauza
quotient,quotient
teeth,mano
shell,chigoba
neck,khosi
oxygen,mpweya
sugar,shuga
death,imfa
pretty,wokongola
skill,luso
women,akazi
season,nyengo
solution,yothetsera
magnet,maginito
silver,siliva
thank,tikukuthokozani
branch,nthambi
match,machesi
suffix,suffix
especially,makamaka
fig,chith
afraid,mantha
huge,yaikulu
sister,mlongo
steel,chitsulo
discuss,kukambirana
forward,mwachidwi
similar,ofanana
guide,kutsogolera
experience,zinachitikira
score,chogoli
apple,apulosi
bought,anagula
led,led
pitch,phula
coat,odula
mass,misa
card,khadi
band,gulu
rope,chingwe
slip,Pepala
win,Nkhata
dream,ndimalota
evening,madzulo
condition,chikhalidwe
feed,chakudya
tool,chida
total,okwana
basic,zoyambirira
smell,kununkhiza
valley,chigwa
nor,kapena
double,pawiri
seat,mpando
continue,kupitiriza
block,chipika
chart,tchati
hat,chipewa
sell,kugulitsa
success,kupambana
company,kampani
subtract,kuchotsera
event,chochitika
particular,makamaka
deal,anatani
swim,kusambira
term,akuti
opposite,si
wife,mkazi
shoe,nsapato
shoulder,phewa
spread,inafikira
arrange,kukonza
camp,msasa
invent,kuyambitsa
cotton,thonje
born,Kubaliwa
determine,kudziwa
quart,Kilogalamu imodzi
nine,naini
truck,m’galimoto
noise,phokoso
level,mlingo
chance,mwayi
gather,kusonkhanitsa
shop,shopu
stretch,Tambasula
throw,kuponyera
shine,kwanu
property,katundu
column,Danga
molecule,molekyulu
select,sankhani
wrong,cholakwika
gray,imvi
repeat,kubwereza
require,amafunika
broad,yotakata
prepare,kukonzekera
salt,mchere
nose,mphuno
plural,mochulukitsa
anger,mkwiyo
claim,funsani
continent,kontinenti
